"country","SuicideRate_BothSexes_RatePer100k_2021","SuicideRate_Male_RatePer100k_2021","SuicideRate_Female_RatePer100k_2021","SuicideRate_BothSexes_RatePer100k_2020","SuicideRate_Male_RatePer100k_2020","SuicideRate_Female_RatePer100k_2020","SuicideRate_BothSexes_RatePer100k_2019","SuicideRate_Male_RatePer100k_2019","SuicideRate_Female_RatePer100k_2019"
"India",13.33,15.7,10.85,13.28,15.7,10.73,12.7,14.1,11.1
"China",9.17,10.64,7.63,9.04,10.52,7.5,8.1,9.8,6.2
"United States",15.25,24.13,6.66,15.38,24.33,6.73,16.1,25,7.5
"Indonesia",1.64,2.21,1.05,1.66,2.23,1.07,2.4,3.7,1.1
"Pakistan",5.82,8.46,3.05,5.89,8.54,3.1,8.9,13.3,4.3
"Nigeria",4.27,7.22,1.56,4.3,7.28,1.55,3.5,5,1.9
"Brazil",7.78,12.47,3.3,7.75,12.46,3.25,6.9,10.9,3
"Bangladesh",3.67,5.18,2.21,3.7,5.18,2.26,3.7,5.7,1.7
"Russia",24.1,41.82,8.66,24.25,42.42,8.44,25.1,43.6,9.1
"Ethiopia",6.17,9.4,2.88,6.12,9.34,2.84,5.4,7.7,3.1
"Mexico",6.84,11.51,2.38,6.73,11.3,2.36,5.3,8.5,2.2
"Japan",17.47,25.2,10.12,17.53,25.4,10.05,15.3,21.8,9.2
"Egypt",1.01,1.48,0.5,1.02,1.5,0.51,3,4,2
"Philippines",3.77,6.04,1.44,3.59,5.69,1.43,2.2,3.1,1.2
"DR Congo",8.12,12.39,3.77,8.08,12.32,3.76,6.7,10.6,2.8
"Vietnam",8.01,10.97,5.07,8.02,10.98,5.07,7.5,10.4,4.7
"Iran",4.34,6.46,2.16,4.38,6.52,2.17,5.2,7.7,2.8
"Turkey",3.84,6.02,1.65,3.82,5.95,1.68,2.4,3.6,1.2
"Germany",12.31,18.9,5.77,12.58,19.33,5.9,12.3,18.6,6.2
"Thailand",12,20.1,4.44,11.95,19.98,4.44,8.8,15,2.9
"United Kingdom",8.47,13.18,3.93,8.29,12.89,3.85,7.9,11.8,4
"Tanzania",5.66,8.9,2.59,5.65,8.86,2.6,4.3,6.6,2
"France",13.72,22.01,5.92,14.27,22.87,6.17,13.8,20.4,7.6
"South Africa",15.3,25.55,5.46,15.1,25.24,5.35,23.5,37.6,9.8
"Italy",6.44,10.37,2.72,6.22,10.01,2.63,6.7,10.1,3.5
"Kenya",6.82,10.53,3.16,6.84,10.54,3.18,6.1,9.1,3.2
"Myanmar",3.57,6.06,1.26,3.56,6.02,1.27,2.9,4.9,1.1
"Colombia",6.74,11.09,2.57,6.77,11.07,2.63,3.9,6.1,1.8
"South Korea",25.81,36.96,14.58,25.63,36.61,14.56,28.6,40.2,16.9
"Sudan",4.28,5.41,3.11,4.34,5.44,3.2,3.8,4.9,2.8
"Uganda",5.84,9.79,2.01,5.88,9.86,2.01,4.6,7.6,1.7
"Spain",7.73,11.86,3.78,7.55,11.58,3.69,7.7,11.4,4.2
"Algeria",2.76,3.6,1.9,2.76,3.59,1.91,2.5,3.1,1.8
"Iraq",4.41,6.55,2.12,4.44,6.56,2.16,3.6,5.2,2
"Argentina",10.47,17.29,3.99,11.01,18.19,4.17,8.4,13.7,3.3
"Afghanistan",3.6,4.16,3.01,3.63,4.18,3.04,4.1,4.6,3.6
"Yemen",3.56,4.63,2.46,3.56,4.61,2.48,5.8,7,4.6
"Canada",12.51,19.43,5.77,12.84,19.98,5.9,11.8,17.6,6.1
"Poland",15.15,27.27,3.79,15.21,27.44,3.74,11.3,20.1,3.1
"Morocco",3.68,4.28,3.07,3.67,4.23,3.09,7.2,9.7,4.7
"Angola",6.95,11.28,2.87,6.9,11.2,2.85,6.1,10,2.3
"Ukraine",23.17,41.4,7.43,22.9,40.96,7.32,21.6,39.2,6.5
"Uzbekistan",8.96,12.29,5.65,9.12,12.4,5.85,8,11.3,4.8
"Malaysia",5.17,8,2.13,4.55,6.98,1.95,5.7,8.9,2.3
"Mozambique",9.28,15.86,3.17,9.44,16.17,3.19,13.6,22,5.7
"Ghana",5.68,9.21,2.34,5.78,9.33,2.41,6.6,11.8,1.2
"Peru",2.9,4.35,1.43,2.97,4.44,1.48,2.8,4.2,1.4
"Saudi Arabia",7.87,10.95,3.55,7.86,10.92,3.56,6,8.9,2
"Madagascar",6.31,9.05,3.64,6.25,8.97,3.6,5.5,7.6,3.4
"Ivory Coast",7.05,11.52,2.28,7.13,11.65,2.29,8.9,14.9,2.8
"Nepal",13.07,18.26,8.37,12.97,17.99,8.41,9,16.4,2.7
"Cameroon",7.16,11.35,2.97,7.2,11.43,2.99,9,13.6,4.4
"Venezuela",8.11,14.2,2.41,8.06,14.08,2.39,2.1,3.5,0.7
"Niger",3.55,4.6,2.52,3.59,4.66,2.53,5.3,7.2,3.3
"Australia",12.86,19.8,6.08,12.87,19.73,6.17,12.5,18.6,6.4
"North Korea",10.88,12.25,9.52,10.87,12.2,9.55,9.4,11.2,7.6
"Syria",0.89,1.44,0.39,0.89,1.43,0.39,2,3.2,0.7
"Mali",4.09,5.24,2.96,4.14,5.3,2.99,4.1,5.3,2.9
"Burkina Faso",6.56,10.43,2.93,6.6,10.5,2.95,7.5,11.3,3.7
"Taiwan",16.04,21.9,10.29,15.87,21.56,10.28,,,
"Sri Lanka",16.27,26.45,6.78,14.86,23.88,6.43,14,22.3,6.2
"Malawi",8.31,13.84,3.05,837,13.96,3.06,5.4,9.2,1.7
"Zambia",8.16,13.42,2.99,8.28,13.63,3.02,7.3,12,2.7
"Kazakhstan",18.2,30.96,6.19,18.03,30.58,6.22,17.6,29,6.8
"Chad",5.43,7.88,3,5.44,7.91,3,6.4,9.6,3.3
"Chile",10.61,17.78,3.66,10.41,17.43,3.6,9,14.9,3.2
"Romania",10.76,18.54,3.4,10.6,18.3,3.32,9.7,16.5,3.3
"Somalia",5.78,7.11,4.39,5.85,7.2,4.45,7.9,12,3.8
"Senegal",7.58,11.87,3.25,7.68,12.03,3.3,6,9.2,3
"Guatemala",5.43,8.45,2.59,5.42,8.41,2.6,5.9,9.4,2.6
"Netherlands",11.23,15.24,7.28,11.27,15.25,7.34,11.8,15.5,8.3
"Ecuador",8.51,13.53,3.54,8.4,13.34,3.51,7.6,11.6,3.6
"Cambodia",4.54,6.46,2.7,4.53,6.42,2.7,4.9,7,2.8
"Zimbabwe",17.61,26.57,9.32,17.56,26.5,9.25,14.1,20,8.8
"Guinea",5.02,6.89,3.26,5.09,6.99,3.3,7,9.2,4.9
"Benin",5.32,8.32,2.41,5.38,8.43,2.43,7.8,11.8,3.8
"Rwanda",7.36,11.13,3.79,7.35,11.11,3.79,5.6,8.2,3
"Burundi",7.13,10.94,3.3,7.14,10.96,3.31,6.2,9.2,3.4
"Bolivia",5.53,7.61,3.44,5.55,7.61,3.48,6.2,8.4,4.1
